,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,,,,,,0,,0,1980-01-09,,,0,,,,,,,,,,,,,,0,,,,,1,0,6-3,,,,,0,,,,,,,,,0,,,,-1,Shaun Hill,,,,,,,0,0,,HillSh00,,,,,,,,,,,,,,2,2.0,0,-2,-1.0,-2.0,0,,,,,2005,,MIN,,,,0,,,2,,,230,-2,0,,,0.0,,,,-1.0,,
2007,108.0,6.18,7.0,110.0,,1,,79,1980-01-09,,,54,127.0,69.6,,,,,,,,,,,,3,0.0,2.0,0.0,,3,2,6-3,1.3,128.0,,,1,,,,,,,,,26,,,,12,Shaun Hill,90.0,5.53,127.0,,68.4,6.3,5,501,6.3,HillSh00,qb,,,,,2-0-0,101.3,,,,,,,12,4.0,1,14,1.2,4.7,1,,94.0,0.0,,2007,,SFO,,,,6,,126.0,12,,,230,14,31,89.0,9.3,167.0,,,,1.2,0.0,
2008,102.0,5.78,6.8,104.0,,7,,288,1980-01-09,,,181,106.0,61.5,,,,,,,,,2.0,,,8,0.0,3.0,-13.0,3.0,9,8,6-3,2.8,103.0,,,8,,,,,,,,,48,,,,24,Shaun Hill,100.0,6.1,105.0,,62.8,4.5,13,2046,7.1,HillSh00,QB,,,,,5-3-0,87.5,,,,,,,24,2.7,2,115,4.8,12.8,2,,90.0,0.0,,2008,,SFO,,,,23,,105.0,24,,,230,115,148,103.0,11.3,227.3,,,,4.8,-13.0,
2009,90.0,4.89,6.1,96.0,,3,,155,1980-01-09,,,87,84.0,38.1,,,,,,,,,1.0,,,3,0.0,0.0,0.0,1.0,6,6,6-3,1.3,123.0,,,2,,,,,,,,,61,,,,22,Shaun Hill,76.0,4.83,95.0,,56.1,3.2,5,943,6.1,HillSh00,qb,,,,,3-3-0,79.6,,,,,,,8,1.3,0,70,8.8,11.7,0,,67.0,0.0,,2009,,SFO,,,,18,,89.0,8,,,230,70,107,83.0,10.8,157.2,,,,8.8,0.0,
2010,96.0,5.43,5.9,93.0,,8,3.0,416,1980-01-09,,,257,104.0,51.4,,,,,,,,,1.0,,,3,0.0,1.0,-2.0,0.0,11,10,6-3,2.9,101.0,,,12,,,,,,,,,75,,,,40,Shaun Hill,95.0,5.94,97.0,,61.8,3.8,16,2686,6.5,HillSh00,QB,,,,,3-7-0,81.3,,,,,,,22,2.0,0,123,5.6,11.2,0,,117.0,0.0,,2010,5.0,DET,,,,17,,95.0,22,,,230,123,113,89.0,10.5,244.2,,,,5.6,-2.0,
2011,,11.0,11.0,,,0,,3,1980-01-09,,,2,,61.2,,,,,,,,,,,,0,,,,,2,0,6-3,0.0,,,,0,,,,,,,,,28,,,,-1,Shaun Hill,,11.0,,,66.7,0.0,0,33,11.0,HillSh00,,,,,,,103.5,,,,,,,1,0.5,0,-1,-1.0,-0.5,0,,,,,2011,,DET,,,,0,,,1,,,230,-1,0,,16.5,16.5,,,,-1.0,,
2012,,16.31,16.3,,,0,,13,1980-01-09,,,10,,44.2,,,,,,,,,,,,0,,,,,1,0,6-3,0.0,,,,0,,,,,,,,,46,,,,-1,Shaun Hill,,13.23,,,76.9,15.4,2,172,13.2,HillSh00,,,,,,,157.9,,,,,,,1,1.0,0,-1,-1.0,-1.0,0,,,,,2012,,DET,,,,0,,,1,,,230,-1,0,,17.2,172.0,,,,-1.0,,
2013,,,,,,0,,0,1980-01-09,,,0,,,,,,,,,,,,,,0,,,,,1,0,6-3,,,,,0,,,,,,,,,0,,,,-1,Shaun Hill,,,,,,,0,0,,HillSh00,,,,,,,,,,,,,,2,2.0,0,-2,-1.0,-2.0,0,,,,,2013,,DET,,,,0,,,2,,,230,-2,0,,,0.0,,,,-1.0,,
2014,93.0,5.61,6.6,95.0,,4,,229,1980-01-09,,100.0,145,104.0,45.2,,,,,,,,,,,,7,0.0,4.0,-5.0,,9,8,6-3,3.1,91.0,,,7,,,,,,,,,63,,,0.0,9,Shaun Hill,98.0,6.24,94.0,,63.3,3.5,8,1657,7.2,HillSh00,QB,,,,,3-5-0,83.9,0.0,0.0,0.0,0.0,1.0,0.1,10,1.1,1,10,1.0,1.1,1,,93.0,0.0,,2014,,STL,,,1.0,18,,88.0,11,,,230,10,116,101.0,11.4,184.1,,,,0.9,-5.0,
2015,,0.5,2.1,,,0,,7,1980-01-09,,,2,,2.1,,,,,,,,,0.0,,,0,,,,1.0,3,0,6-3,0.0,,,,0,,,,,,,,,9,,,,-1,Shaun Hill,,0.5,,,28.6,0.0,0,15,2.1,HillSh00,,,,,,,39.6,,,,,,,4,1.3,0,-5,-1.3,-1.7,0,,,,,2015,,MIN,,,,1,,,4,,,230,-5,11,,7.5,5.0,,,,-1.3,,
2016,,6.53,6.9,,,1,,35,1980-01-09,,,19,,51.5,,,,,,,,,,,,0,,,,,3,1,6-3,0.0,,,,0,,,,,,,,,33,,,,9,Shaun Hill,,6.53,,,54.3,0.0,0,242,6.9,HillSh00,qb,,,,,1-0-0,76.1,,,,,,,5,1.7,0,5,1.0,1.7,0,,,,,2016,,MIN,,,,1,,,5,,,230,5,7,,12.7,80.7,,,,1.0,,
Career,,5.65,6.5,,,24,3.0,1225,1980-01-09,,100.0,757,,,,,,,,,,,4.0,,,24,0.0,10.0,-20.0,5.0,49,35,6-3,2.4,,,,30,,,,,,,,,75,,,0.0,40,Shaun Hill,,5.93,,,61.8,4.0,49,8295,6.8,HillSh00,,,,,,17-18-0,84.9,0.0,0.0,0.0,0.0,1.0,0.0,91,1.9,4,326,3.6,6.7,4,,,0.0,,Career,5.0,,,,1.0,84,,,92,,,230,326,533,,11.0,169.3,,,,3.5,-20.0,
