,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,75.0,3.35,4.1,73.0,,1,,81,1983-04-21,,,47,93.0,9.7,,,,,,,,,,,,4.0,0.0,1.0,0.0,,4,2,6-2,4.9,71.0,,,4,,,,,,,,,50,,,,13.0,Tarvaris Jackson,81.0,4.92,75.0,,58.0,2.5,2,475,5.9,JackTa00,,,,,,0-2-0,62.5,,,,,,,15.0,3.8,1.0,77.0,5.1,19.3,1.0,,84.0,0.0,,2006,,MIN,,,,8,,83.0,15.0,,,225,77.0,37,81.0,10.1,118.8,,,,5.1,0.0,
2007,90.0,4.73,5.3,86.0,,6,,294,1983-04-21,,,171,91.0,52.0,,,,,,,,,1.0,,,5.0,0.0,0.0,-12.0,2.0,12,12,6-2,4.1,84.0,,,12,,,,,,,,,71,,,,32.0,Tarvaris Jackson,97.0,5.88,84.0,,58.2,3.1,9,1911,6.5,JackTa00,QB,,,,,8-4-0,70.8,,,,,,,54.0,4.5,3.0,260.0,4.8,21.7,3.0,,101.0,0.0,,2007,,MIN,,,,19,,89.0,54.0,,,225,260.0,70,92.0,11.2,159.3,,,,4.8,-12.0,
2008,109.0,6.44,7.7,116.0,,4,,149,1983-04-21,,,88,93.0,58.3,,,,,,,,,2.0,,,5.0,0.0,1.0,0.0,2.0,9,5,6-2,1.3,124.0,,,2,,,,,,,,,59,,,,29.0,Tarvaris Jackson,96.0,5.88,115.0,,59.1,6.0,9,1056,7.1,JackTa00,qb,,,,,2-3-0,95.4,,,,,,,26.0,2.9,0.0,145.0,5.6,16.1,0.0,,82.0,0.0,,2008,,MIN,,,,14,,122.0,26.0,,,225,145.0,97,103.0,12.0,117.3,,,,5.6,0.0,
2009,,10.52,10.5,,,1,,21,1983-04-21,,,14,,75.9,,,,,,,,,,,,0.0,,,,,8,0,6-2,0.0,,,,0,,,,,,,,,34,,,,6.0,Tarvaris Jackson,,9.57,,,66.7,4.8,1,201,9.6,JackTa00,,,,,,,113.4,,,,,,,17.0,2.1,0.0,-10.0,-0.6,-1.3,0.0,,,,,2009,,MIN,,,,0,,,17.0,,,225,-10.0,0,,14.4,25.1,,,,-0.6,,
2010,67.0,2.78,3.8,69.0,,1,,58,1983-04-21,,,34,94.0,28.3,,,,,,,,,,,,1.0,0.0,2.0,-15.0,,3,1,6-2,6.9,46.0,,,4,,,,,,,,,46,,,,33.0,Tarvaris Jackson,74.0,4.66,78.0,,58.6,5.2,3,341,5.9,JackTa00,,,,,,0-1-0,63.9,,,,,,,7.0,2.3,0.0,63.0,9.0,21.0,0.0,,76.0,0.0,,2010,,MIN,,,,6,,110.0,7.0,,,225,63.0,43,79.0,10.0,113.7,,,,9.0,-15.0,
2011,89.0,5.07,6.2,94.0,,9,,450,1983-04-21,,,271,99.0,44.7,,,,,,,,,,,,9.0,0.0,4.0,-8.0,,15,14,6-2,2.9,99.0,,,13,,,,,,,,,61,,,,13.0,Tarvaris Jackson,89.0,5.69,93.0,,60.2,3.1,14,3091,6.9,JackTa00,QB,,,,,7-7-0,79.2,,,,,,,40.0,2.7,1.0,108.0,2.7,7.2,1.0,,81.0,0.0,,2011,,SEA,,,,42,,87.0,40.0,,,225,108.0,293,95.0,11.4,206.1,,,,2.7,-8.0,
2013,,13.15,13.2,,,1,,13,1983-04-21,,,10,,97.9,,,,,,,,,,,,0.0,,,,,3,0,6-2,0.0,,,,0,,,,,,,,,35,,,,5.0,Tarvaris Jackson,,11.62,,,76.9,7.7,1,151,11.6,JackTa00,,,,,,,140.2,,,,,,,4.0,1.3,1.0,1.0,0.3,0.3,1.0,,,,,2013,,SEA,,,,0,,,4.0,,,225,1.0,0,,15.1,50.3,,,,0.3,,
2014,,0.0,0.0,,,0,,1,1983-04-21,,,1,,42.4,,,,,,,,,,,,,,,,,1,0,6-2,0.0,,,,0,,,,,,,,,0,,,,,Tarvaris Jackson,,0.0,,,100.0,0.0,0,0,0.0,JackTa00,,,,,,,79.2,,,,,,,,,,,,,,,,,,2014,,SEA,,,,0,,,,,,225,,0,,0.0,0.0,,,,,,
2015,,4.43,6.2,,,0,,6,1983-04-21,,,4,,67.7,,,,,,,,,,,,0.0,,,,,4,0,6-2,0.0,,,,0,,,,,,,,,17,,,,-1.0,Tarvaris Jackson,,4.43,,,66.7,0.0,0,37,6.2,JackTa00,,,,,,,83.3,,,,,,,8.0,2.0,0.0,-8.0,-1.0,-2.0,0.0,,,,,2015,,SEA,,,,1,,,8.0,,,225,-8.0,6,,9.3,9.3,,,,-1.0,,
Career,,5.09,6.0,,,23,,1073,1983-04-21,,,640,,,,,,,,,,,3.0,,,24.0,0.0,8.0,-35.0,4.0,59,34,6-2,3.3,,,,35,,,,,,,,,71,,,,33.0,Tarvaris Jackson,,5.78,,,59.6,3.6,39,7263,6.8,JackTa00,,,,,,17-17-0,78.5,,,,,,,171.0,2.9,6.0,636.0,3.7,10.8,6.0,,,0.0,,Career,,,,,,90,,,171.0,,,225,636.0,546,,11.3,123.1,,,,3.7,-35.0,
