,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,,-4.25,-3.0,,,0,,7,1973-03-18,,,3,,,,,,,,,,,,,,0.0,,,,,1,0,6-4,14.3,,,,1,,,,,,,,,19,,,,7.0,Rob Johnson,,1.38,,,42.9,0.0,0,24,3.4,JohnRo00,,,,,,,12.5,,,,,,,3.0,3.0,0.0,17.0,5.7,17.0,0.0,,,,,1995,,JAX,,,,1,,,3.0,,,204,17.0,13,,8.0,24.0,,,,5.7,,
1996,,,,,,0,,0,1973-03-18,,,0,,,,,,,,,,,,,,,,,,,2,0,6-4,,,,,0,,,,,,,,,0,,,,,Rob Johnson,,,,,,,0,0,,JohnRo00,,,,,,,,,,,,,,,,,,,,,,,,,1996,,JAX,,,,0,,,,,,204,,0,,,0.0,,,,,,
1997,,7.79,10.5,,,2,,28,1973-03-18,,,22,,,,,,,,,,,1.0,,,0.0,,,,1.0,5,1,6-4,7.1,,,,2,,,,,,,,,40,,,,25.0,Rob Johnson,,9.26,,,78.6,7.1,2,344,12.3,JohnRo00,qb,,,,,1-0-0,111.9,,,,,,,10.0,2.0,1.0,34.0,3.4,6.8,1.0,,,,,1997,,JAX,,,,6,,,10.0,,,204,34.0,29,,15.6,68.8,,,,3.4,,
1998,105.0,5.68,8.7,130.0,,4,,107,1973-03-18,,,67,124.0,,,,,,,,,,,,,2.0,0.0,1.0,-1.0,,8,6,6-4,2.8,106.0,,,3,,,,,,,,,66,,,,32.0,Rob Johnson,94.0,5.49,131.0,,62.6,7.5,8,910,8.5,JohnRo00,qb,,,,,3-3-0,102.9,,,,,,,24.0,3.0,1.0,123.0,5.1,15.4,1.0,,17.0,0.0,,1998,,BUF,,,,29,,136.0,24.0,,,204,123.0,163,131.0,13.6,113.8,,,,5.1,-1.0,
1999,,9.4,9.9,,,1,,34,1973-03-18,,,25,,,,,,,,,,,,,,0.0,,,,,2,1,6-4,0.0,,,,0,,,,,,,,,42,,,,25.0,Rob Johnson,,8.26,,,73.5,5.9,2,298,8.8,JohnRo00,qb,,,,,1-0-0,119.5,,,,,,,8.0,4.0,0.0,61.0,7.6,30.5,0.0,,,,,1999,,BUF,,,,1,,,8.0,,,204,61.0,9,,11.9,149.0,,,,7.6,,
2000,97.0,4.95,6.7,109.0,,7,,306,1973-03-18,,100.0,175,96.0,,,,,,,,,,2.0,,,4.0,0.0,2.0,0.0,1.0,12,11,6-4,2.3,116.0,,,7,,,,,,,,,74,,,-6.0,23.0,Rob Johnson,87.0,5.16,106.0,,57.2,3.9,12,2125,6.9,JohnRo00,qb,,,,,4-7-0,82.2,0.0,-6.0,-0.5,-6.0,1.0,0.1,42.0,3.5,1.0,307.0,7.3,25.6,1.0,,57.0,0.0,,2000,,BUF,,,1.0,49,,100.0,43.0,,,204,301.0,292,104.0,12.1,177.1,,,,7.0,0.0,
2001,86.0,4.27,5.8,96.0,,5,,216,1973-03-18,,,134,111.0,,,,,,,,,,0.0,,,6.0,0.0,1.0,-4.0,1.0,8,8,6-4,3.2,99.0,,,7,,,,,,,,,61,,,,23.0,Rob Johnson,87.0,5.14,96.0,,62.0,2.3,5,1465,6.8,JohnRo00,QB,,,,,1-7-0,76.3,,,,,,,36.0,4.5,1.0,241.0,6.7,30.1,1.0,,64.0,0.0,,2001,,BUF,,,,31,,78.0,36.0,,,204,241.0,196,101.0,10.9,183.1,,,,6.7,-4.0,
2002,73.0,3.48,5.3,88.0,,2,,88,1973-03-18,,,57,120.0,,,,,,,,,,1.0,,,2.0,0.0,0.0,0.0,1.0,6,2,6-4,2.3,116.0,,,2,,,,,,,,,23,,,,21.0,Rob Johnson,62.0,4.13,95.0,,64.8,1.1,1,536,6.1,JohnRo00,qb,,,,,2-0-0,75.8,,,,,,,14.0,2.3,0.0,73.0,5.2,12.2,0.0,,22.0,0.0,,2002,,TAM,,,,19,,59.0,14.0,,,204,73.0,94,86.0,9.4,89.3,,,,5.2,0.0,
2003,,1.13,2.4,,,0,,20,1973-03-18,,,11,,,,,,,,,,,,,,0.0,,,,,4,0,6-4,5.0,,,,1,,,,,,,,,15,,,,14.0,Rob Johnson,,3.0,,,55.0,0.0,0,93,4.7,JohnRo00,,,,,,,46.5,,,,,,,3.0,0.8,0.0,21.0,7.0,5.3,0.0,,,,,2003,,2TM,,,,4,,,3.0,,,204,21.0,21,,8.5,23.3,,,,7.0,,
,,0.21,0.7,,,0,,13,1973-03-18,,,6,,,,,,,,,,,,,,0.0,,,,,2,0,6-4,7.7,,,,1,,,,,,,,,15,,,,14.0,Rob Johnson,,3.43,,,46.2,0.0,0,54,4.2,JohnRo00,,,,,,,25.8,,,,,,,2.0,1.0,0.0,15.0,7.5,7.5,0.0,,,,,,,OAK,,,,1,,,2.0,,,204,15.0,6,,9.0,27.0,,,,7.5,,
Career,,4.8,6.7,,,21,,806,1973-03-18,,100.0,494,,,,,,,,,,,4.0,,,14.0,0.0,4.0,-5.0,4.0,48,29,6-4,2.9,,,,23,,,,,,,,,74,,,0.0,32.0,Rob Johnson,,5.26,,,61.3,3.7,30,5795,7.2,JohnRo00,,,,,,12-17-0,83.6,0.0,-6.0,-0.1,-6.0,1.0,0.0,140.0,2.9,4.0,877.0,6.3,18.3,4.0,,,0.0,,Career,,,,,1.0,140,,,141.0,,,204,871.0,817,,11.7,120.7,,,,6.2,-5.0,
