,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1997,,6.06,6.7,,,1,,45,1972-09-21,,,31,,,,,,,,,,,1.0,,,1,0.0,1.0,-2.0,1.0,3,1,6-2,4.4,,,,2,,,,,,,,,61,,,,8,Jon Kitna,,7.52,,,68.9,2.2,1,371,8.2,KitnJo00,qb,,,,,1-0-0,82.7,,,,,,,10,3.3,1,9,0.9,3.0,1,,,0.0,,1997,,SEA,,,,3,,,10,,,219,9,10,,12.0,123.7,,,,0.9,-2.0,
1998,95.0,4.84,5.6,94.0,,4,,172,1972-09-21,,,98,101.0,,,,,,,,,,1.0,,,6,0.0,4.0,-10.0,1.0,6,5,6-2,4.7,80.0,,,8,,,,,,,,,70,,,,21,Jon Kitna,104.0,6.04,94.0,,57.0,4.1,7,1177,6.8,KitnJo00,qb,,,,,3-2-0,72.3,,,,,,,20,3.3,1,67,3.4,11.2,1,,107.0,0.0,,1998,,SEA,,,,11,,101.0,20,,,219,67,72,101.0,12.0,196.2,,,,3.4,-10.0,
1999,103.0,5.48,6.2,101.0,,11,,495,1972-09-21,,,270,89.0,,,,,,,,,,2.0,,,14,0.0,6.0,-9.0,2.0,15,15,6-2,3.2,101.0,,,16,,,,,,,,,51,,,,10,Jon Kitna,102.0,5.97,100.0,,54.5,4.6,23,3346,6.8,KitnJo00,QB,,,,,8-7-0,77.7,,,,,,,35,2.3,0,56,1.6,3.7,0,,106.0,0.0,,1999,,SEA,,,,32,,106.0,35,,,219,56,198,100.0,12.4,223.1,,,,1.6,-9.0,
2000,90.0,4.43,5.2,89.0,,8,,418,1972-09-21,,,259,115.0,,,,,,,,,,2.0,,,17,0.0,9.0,-19.0,4.0,15,12,6-2,4.5,80.0,,,19,,,,,,,,,71,,,,13,Jon Kitna,94.0,5.53,97.0,,62.0,4.3,18,2658,6.4,KitnJo00,qb,,,,,6-6-0,75.6,,,,,,,48,3.2,1,127,2.6,8.5,1,,98.0,0.0,,2000,,SEA,,,,33,,105.0,48,,,219,127,166,93.0,10.3,177.2,,,,2.6,-19.0,
2001,79.0,3.76,4.2,74.0,,6,,581,1972-09-21,,,313,82.0,,,,,,,,,,3.0,,,13,0.0,7.0,-13.0,3.0,16,15,6-2,3.8,90.0,,,22,,,,,,,,,49,,,,20,Jon Kitna,84.0,5.0,74.0,,53.9,2.1,12,3216,5.5,KitnJo00,QB,,,,,6-9-0,61.1,,,,,,,27,1.7,1,73,2.7,4.6,1,,116.0,0.0,,2001,,CIN,,,,25,,75.0,27,,,219,73,185,77.0,10.3,201.0,,,,2.7,-13.0,
2002,100.0,5.27,5.9,97.0,,9,,473,1972-09-21,,,294,111.0,,,,,,,,,,1.0,,,10,0.0,1.0,-4.0,1.0,14,12,6-2,3.4,97.0,,,16,,,,,,,,,72,,,,12,Jon Kitna,105.0,6.07,100.0,,62.2,3.4,16,3178,6.7,KitnJo00,QB,,,,,2-10-0,79.1,,,,,,,24,1.7,4,57,2.4,4.1,4,,111.0,0.0,,2002,,CIN,,,,24,,92.0,24,,,219,57,159,100.0,10.8,227.0,,,,2.4,-4.0,
2003,104.0,5.72,6.6,105.0,,13,,520,1972-09-21,,,324,109.0,,,,,,,,,,3.0,,,9,0.0,1.0,0.0,3.0,16,16,6-2,2.9,105.0,,,15,,,,,,,,,82,,,,15,Jon Kitna,101.0,6.0,109.0,,62.3,5.0,26,3591,6.9,KitnJo00,QB,,,,,8-8-0,87.4,,,,,,,38,2.4,0,113,3.0,7.1,0,,99.0,0.0,,2003,,CIN,,,,37,,111.0,38,,,219,113,249,102.0,11.1,224.4,,,,3.0,0.0,
2004,90.0,4.56,5.2,88.0,,2,,104,1972-09-21,,,61,97.0,,,,,,,,,,1.0,,,2,0.0,1.0,-1.0,1.0,4,3,6-2,3.8,88.0,,,4,,,,,,,,,30,,,,15,Jon Kitna,89.0,5.29,94.0,,58.7,4.8,5,623,6.0,KitnJo00,qb,,,,,2-1-0,75.9,,,,,,,10,2.5,0,42,4.2,10.5,0,,108.0,0.0,,2004,,CIN,,,,6,,109.0,10,,,219,42,41,85.0,10.2,155.8,,,,4.2,-1.0,
2005,,-0.03,0.3,,,1,,29,1972-09-21,,,17,,,,,,,,,,,,,,0,,,,,3,0,6-2,6.9,,,,2,,,,,,,,,16,,,,11,Jon Kitna,,2.87,,,58.6,0.0,0,99,3.4,KitnJo00,,,,,,,36.4,,,,,,,2,0.7,0,14,7.0,4.7,0,,,,,2005,,CIN,,,,2,,,2,,,219,14,10,,5.8,33.0,,,,7.0,,
2006,94.0,4.93,6.1,98.0,,13,,596,1972-09-21,,,372,108.0,41.7,,,,,,,,,1.0,,,11,0.0,0.0,-7.0,1.0,16,16,6-2,3.7,91.0,,,22,,,,,,,,,60,,,,18,Jon Kitna,97.0,5.8,98.0,,62.4,3.5,21,4208,7.1,KitnJo00,QB,,,,,3-13-0,79.9,,,,,,,34,2.1,2,156,4.6,9.8,2,,80.0,0.0,,2006,,DET,,,,63,,94.0,34,,,219,156,388,105.0,11.3,263.0,,,,4.6,-7.0,
