,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1992,74.0,2.99,3.7,70.0,,2,,121,1971-09-02,,,66,90.0,,,,,,,,,,,,,4,,2.0,0.0,,13,4,6-4,7.4,42.0,,,9,,,,,,,,,38,,,,11,Tommy Maddox,91.0,5.32,73.0,,54.5,4.1,5,757,6.3,MaddTo00,,,,,,0-4-0,56.4,,,,,,,9,0.7,0,20,2.2,1.5,0,,97.0,0.0,,1992,,DEN,,,,10,,105.0,9,,,220,20,60,89.0,11.5,58.2,,,,2.2,0.0,
1993,,21.0,21.0,,,0,,1,1971-09-02,,,1,,,,,,,,,,,,,,0,,,,,16,0,6-4,0.0,,,,0,,,,,,,,,1,,,,-1,Tommy Maddox,,1.0,,,100.0,100.0,1,1,1.0,MaddTo00,,,,,,,118.7,,,,,,,2,0.1,0,-2,-1.0,-0.1,0,,,,,1993,,DEN,,,,0,,,2,,,220,-2,0,,1.0,0.1,,,,-1.0,,
1994,,2.68,2.7,,,0,,19,1971-09-02,,,10,,,,,,,,,,,,,,0,,,,,5,0,6-4,10.5,,,,2,,,,,,,,,39,,,,1,Tommy Maddox,,7.42,,,52.6,0.0,0,141,7.4,MaddTo00,,,,,,,37.3,,,,,,,1,0.2,0,1,1.0,0.2,0,,,,,1994,,RAM,,,,0,,,1,,,220,1,0,,14.1,28.2,,,,1.0,,
1995,,-3.72,-3.7,,,0,,23,1971-09-02,,,6,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,0,6-4,13.0,,,,3,,,,,,,,,13,,,,4,Tommy Maddox,,1.68,,,26.1,0.0,0,49,2.1,MaddTo00,,,,,,,0.0,,,,,,,1,0.1,0,4,4.0,0.3,0,,,0.0,,1995,,NYG,,,,2,,,1,,,220,4,7,,8.2,3.1,,,,4.0,0.0,
2001,,12.5,14.3,,,1,,9,1971-09-02,,,7,,,,,,,,,,,,,,1,0.0,0.0,0.0,,3,0,6-4,11.1,,,,1,,,,,,,,,57,,,,8,Tommy Maddox,,15.0,,,77.8,11.1,1,154,17.1,MaddTo00,,,,,,,116.2,,,,,,,6,2.0,1,9,1.5,3.0,1,,,0.0,,2001,,PIT,,,,1,,,6,,,220,9,4,,22.0,51.3,,,,1.5,0.0,
2002,110.0,5.88,6.7,110.0,,9,0.0,377,1971-09-02,,0.0,234,110.0,,,,,,,,,,2.0,,,8,0.0,5.0,-3.0,2.0,15,11,6-4,4.2,82.0,,,16,,,,,,,,,72,,,0.0,21,Tommy Maddox,118.0,6.67,109.0,,62.1,5.3,20,2836,7.5,MaddTo00,QB,,,,,7-3-1,85.2,0.0,0.0,0.0,,0.0,0.0,19,1.3,0,43,2.3,2.9,0,,100.0,0.0,,2002,1.0,PIT,,,2.0,26,,120.0,19,,,220,43,148,118.0,12.1,189.1,,,,2.3,-3.0,
2003,94.0,4.94,5.8,95.0,,10,,519,1971-09-02,,,298,93.0,,,,,,,,,,,,,5,0.0,1.0,-6.0,,16,16,6-4,3.3,98.0,,,17,,,,,,,,,53,,,,6,Tommy Maddox,95.0,5.66,93.0,,57.4,3.5,18,3414,6.6,MaddTo00,QB,,,,,6-10-0,75.3,,,,,,,13,0.8,0,12,0.9,0.8,0,,94.0,0.0,,2003,,PIT,,,,41,,92.0,13,,,220,12,242,96.0,11.5,213.4,,,,0.9,-6.0,
2004,76.0,3.36,4.3,77.0,,1,,60,1971-09-02,,,30,69.0,,,,,,,,,,0.0,,,3,0.0,0.0,0.0,1.0,4,3,6-4,3.3,97.0,,,2,,,,,,,,,39,,,,10,Tommy Maddox,74.0,4.42,72.0,,50.0,1.7,1,329,5.5,MaddTo00,,,,,,2-1-0,58.3,,,,,,,9,2.3,0,15,1.7,3.8,0,,82.0,0.0,,2004,,PIT,,,,6,,71.0,9,,,220,15,37,76.0,11.0,82.3,,,,1.7,0.0,
2005,69.0,2.82,3.7,69.0,,2,,71,1971-09-02,,,34,61.0,,,,,,,,,,,,,2,0.0,0.0,-9.0,,4,2,6-4,5.6,57.0,,,4,,,,,,,,,32,,,,16,Tommy Maddox,77.0,4.59,63.0,,47.9,2.8,2,406,5.7,MaddTo00,,,,,,0-2-0,51.7,,,,,,,8,2.0,0,26,3.3,6.5,0,,78.0,0.0,,2005,,PIT,,,,8,,85.0,8,,,220,26,43,80.0,11.9,101.5,,,,3.3,-9.0,
Career,,4.7,5.5,,,25,0.0,1200,1971-09-02,,0.0,686,,,,,,,,,,,2.0,,,24,0.0,8.0,-18.0,3.0,92,36,6-4,4.5,,,,54,,,,,,,,,72,,,0.0,21,Tommy Maddox,,5.83,,,57.2,4.0,48,8087,6.7,MaddTo00,,,,,,15-20-1,72.4,0.0,0.0,0.0,,0.0,0.0,68,0.7,1,128,1.9,1.4,1,,,0.0,,Career,1.0,,,,2.0,94,,,68,,,220,128,541,,11.8,87.9,,,,1.9,-18.0,
