,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1999,69.0,2.41,3.7,74.0,,1,,216,1976-11-25,,100.0,106,69.0,,,,,,,,,,1.0,,,8,0,0,-3,2.0,12,6,6-2,3.2,101.0,,,7,,,,,,,,,63,,,-6.0,27,Donovan McNabb,55.0,3.05,80.0,,49.1,3.7,8,948,4.4,McNaDo00,qb,,,,,2-4-0,60.1,0.0,-6.0,-0.5,-6.0,1.0,0.1,47,3.9,0,313,6.7,26.1,0,,74.0,0.0,,1999,,PHI,,,1.0,28,,97.0,48,,,240,307,204,61.0,8.9,79.0,,,,6.4,-3,
2000,95.0,4.79,5.6,94.0,,16,,569,1976-11-25,,50.0,330,100.0,,,,,,,,,,2.0,,,7,0,2,-5,3.0,16,16,6-2,2.3,116.0,,,13,,,,,,,,,70,,,3.0,54,Donovan McNabb,85.0,5.05,100.0,,58.0,3.7,21,3365,5.9,McNaDo00,QB,,,,,11-5-0,77.8,0.0,5.0,0.3,2.5,2.0,0.1,86,5.4,6,629,7.3,39.3,6,,97.0,0.0,,2000,,PHI,,,4.0,45,,97.0,88,,,240,634,262,84.0,10.2,210.3,,,,7.2,-5,
2001,103.0,5.49,6.5,106.0,,14,,493,1976-11-25,,,285,96.0,,,,,,,,,,2.0,,,8,0,3,-7,2.0,16,16,6-2,2.4,113.0,,,12,,,,,,,,,64,,,,33,Donovan McNabb,94.0,5.56,108.0,,57.8,5.1,25,3233,6.6,McNaDo00,QB,,,,,11-5-0,84.3,,,,,,,82,5.1,2,482,5.9,30.1,2,,96.0,0.0,,2001,,PHI,,,,39,,116.0,82,,,240,482,273,97.0,11.3,202.1,,,,5.9,-7,
2002,106.0,5.64,6.5,108.0,,11,,361,1976-11-25,,0.0,211,97.0,,,,,,,,,,0.0,,,6,0,1,0,1.0,10,10,6-2,1.7,127.0,,,6,,,,,,,,,59,,,0.0,40,Donovan McNabb,91.0,5.46,110.0,,58.4,4.7,17,2289,6.3,McNaDo00,QB,,,,,7-3-0,86.0,0.0,0.0,0.0,,0.0,0.0,63,6.3,6,460,7.3,46.0,6,,95.0,0.0,,2002,,PHI,,,1.0,28,,111.0,63,,,240,460,166,92.0,10.8,228.9,,,,7.3,0,
2003,99.0,5.35,6.4,102.0,,15,,478,1976-11-25,,100.0,275,94.0,,,,,,,,,,2.0,,,9,0,2,-6,4.0,16,16,6-2,2.3,115.0,,,11,,,,,,,,,59,,,-7.0,34,Donovan McNabb,95.0,5.69,99.0,,57.5,3.3,16,3216,6.7,McNaDo00,QB,,,,,12-4-0,79.6,0.0,-7.0,-0.4,-7.0,1.0,0.1,71,4.4,3,355,5.0,22.2,3,,88.0,0.0,,2003,,PHI,,,1.0,43,,91.0,72,,,240,348,253,99.0,11.7,201.0,,,,4.8,-6,
2004,130.0,7.87,8.8,132.0,,16,,469,1976-11-25,,,300,115.0,,,,,,,,,,2.0,,,8,0,1,-6,2.0,15,15,6-2,1.7,125.0,,,8,,,,,,,,,80,,,,28,Donovan McNabb,123.0,7.35,131.0,,64.0,6.6,31,3875,8.3,McNaDo00,QB,,,,,13-2-0,104.7,,,,,,,41,2.7,3,220,5.4,14.7,3,,101.0,0.0,,2004,,PHI,,,,32,,130.0,41,,,240,220,192,125.0,12.9,258.3,,,,5.4,-6,
2005,108.0,6.14,6.8,106.0,,7,,357,1976-11-25,,,211,98.0,,,,,,,,,,0.0,,,8,0,3,-18,2.0,9,9,6-2,2.5,111.0,,,9,,,,,,,,,91,,,,11,Donovan McNabb,106.0,6.37,105.0,,59.1,4.5,16,2507,7.0,McNaDo00,QB,,,,,4-5-0,85.0,,,,,,,25,2.8,1,55,2.2,6.1,1,,110.0,0.0,,2005,,PHI,,,,19,,105.0,25,,,240,55,112,102.0,11.9,278.6,,,,2.2,-18,
2006,128.0,7.71,8.7,132.0,,10,,316,1976-11-25,,,180,89.0,65.5,,,,,,,,,0.0,,,3,0,1,-3,1.0,10,10,6-2,1.9,119.0,,,6,,,,,,,,,87,,,,37,Donovan McNabb,126.0,7.44,119.0,,57.0,5.7,18,2647,8.4,McNaDo00,QB,,,,,5-5-0,95.5,,,,,,,32,3.2,3,212,6.6,21.2,3,,101.0,0.0,,2006,,PHI,,,,21,,119.0,32,,,240,212,140,131.0,14.7,264.7,,,,6.6,-3,
2007,107.0,6.12,7.2,111.0,,11,,473,1976-11-25,,,291,103.0,56.3,,,,,,,,,1.0,,,9,0,0,-5,1.0,14,14,6-2,1.5,124.0,,,7,,,,,,,,,75,,,,40,Donovan McNabb,99.0,5.99,111.0,,61.5,4.0,19,3324,7.0,McNaDo00,QB,,,,,8-6-0,89.9,,,,,,,50,3.6,0,236,4.7,16.9,0,,85.0,0.0,,2007,,PHI,,,,44,,100.0,50,,,240,236,227,103.0,11.4,237.4,,,,4.7,-5,
2008,108.0,6.28,6.8,105.0,,12,,571,1976-11-25,,,345,98.0,52.9,,,,,,,,,2.0,,,7,0,0,-10,1.0,16,16,6-2,1.9,115.0,,,11,,,,,,,,,90,,,,17,Donovan McNabb,104.0,6.34,104.0,,60.4,4.0,23,3916,6.9,McNaDo00,QB,,,,,9-6-1,86.4,,,,,,,39,2.4,2,147,3.8,9.2,2,,115.0,0.0,,2008,,PHI,,,,23,,100.0,39,,,240,147,149,99.0,11.4,244.8,,,,3.8,-10,
2009,114.0,6.86,8.0,118.0,,13,,443,1976-11-25,,100.0,267,98.0,57.0,,,,,,,,,2.0,,,10,0,3,-12,3.0,14,14,6-2,2.3,110.0,,,10,,,,,,,,,60,,,1.0,27,Donovan McNabb,113.0,6.88,112.0,,60.3,5.0,22,3553,8.0,McNaDo00,QB,,,,,10-4-0,92.9,0.0,1.0,0.1,1.0,1.0,0.1,37,2.6,2,140,3.8,10.0,2,,90.0,0.0,,2009,,PHI,,,1.0,35,,110.0,38,,,240,141,264,119.0,13.3,253.8,,,,3.7,-12,
2010,95.0,5.33,6.3,97.0,,8,,472,1976-11-25,,,275,92.0,48.2,,,,,,,,,2.0,,,10,0,8,-27,2.0,13,13,6-2,3.2,97.0,,,15,,,,,,,,,76,,,,36,Donovan McNabb,98.0,6.1,92.0,,58.3,3.0,14,3377,7.2,McNaDo00,QB,,,,,5-8-0,77.1,,,,,,,29,2.2,0,151,5.2,11.6,0,,92.0,0.0,,2010,,WAS,,,,37,,85.0,29,,,240,151,271,102.0,12.3,259.8,,,,5.2,-27,
2011,92.0,5.25,6.5,98.0,,4,,156,1976-11-25,,,94,99.0,55.3,,,,,,,,,,,,2,0,0,0,,6,6,6-2,1.3,125.0,,,2,,,,,,,,,60,,,,23,Donovan McNabb,82.0,5.31,98.0,,60.3,2.6,4,1026,6.6,McNaDo00,qb,,,,,1-5-0,82.9,,,,,,,14,2.3,1,59,4.2,9.8,1,,75.0,0.0,,2011,,MIN,,,,16,,80.0,14,,,240,59,113,90.0,10.9,171.0,,,,4.2,0,
Career,,5.89,6.8,,,138,,5374,1976-11-25,,62.5,3170,,,,,,,,,,,16.0,,,95,0,24,-102,24.0,167,161,6-2,2.2,,,,117,,,,,,,,,91,,,3.0,54,Donovan McNabb,,5.99,,,59.0,4.4,234,37276,6.9,McNaDo00,,,,,,98-62-1,85.6,0.0,-7.0,0.0,-1.4,5.0,0.0,616,3.7,29,3459,5.6,20.7,29,,,0.0,,Career,,,,,8.0,410,,,621,,,240,3452,2626,,11.8,223.2,,,,5.6,-102,
