,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,111.0,6.06,7.3,119.0,,2,,80,1973-02-14,,,41,77.0,,,,,,,,,,,,,3,0,2,-2,,4,2,6-2,1.3,132.0,,,1,,,,,,,,,53,,,,13,Steve McNair,99.0,5.88,105.0,,51.3,3.8,3,569,7.1,McNaSt00,qb,,,,,2-0-0,81.7,,,,,,,11,2.8,0,38,3.5,9.5,0,,94.0,0.0,,1995,,HOU,,,,6,,98.0,11,,,230,38,63,109.0,13.9,142.3,,,,3.5,-2,
1996,130.0,7.18,8.0,128.0,,5,,143,1973-02-14,,,88,116.0,,,,,,,,,,,,,7,0,4,0,,9,4,6-2,2.8,106.0,,,4,,,,,,,,,83,,,,24,Steve McNair,142.0,7.58,119.0,,61.5,4.2,6,1197,8.4,McNaSt00,qb,,,,,2-2-0,90.6,,,,,,,31,3.4,2,169,5.5,18.8,2,,104.0,0.0,,1996,,HOU,,,,9,,104.0,31,,,230,169,45,141.0,13.6,133.0,,,,5.5,0,
1997,96.0,4.87,5.7,95.0,,15,,415,1973-02-14,,,216,82.0,,,,,,,,,,1.0,,,16,0,7,-2,1.0,16,16,6-2,3.1,101.0,,,13,,,,,,,,,55,,,,47,Steve McNair,95.0,5.55,91.0,,52.0,3.4,14,2665,6.4,McNaSt00,QB,,,,,8-8-0,70.4,,,,,,,101,6.3,8,674,6.7,42.1,8,,100.0,0.0,,1997,,TEN,,,,31,,93.0,101,,,230,674,190,94.0,12.3,166.6,,,,6.7,-2,
1998,104.0,5.53,6.3,102.0,,15,,492,1973-02-14,,,289,108.0,,,,,,,,,,1.0,,,5,0,3,-7,2.0,16,16,6-2,2.0,116.0,,,10,,,,,,,,,47,,,,71,Steve McNair,100.0,5.81,103.0,,58.7,3.0,15,3228,6.6,McNaSt00,QB,,,,,8-8-0,80.1,,,,,,,77,4.8,4,559,7.3,34.9,4,,105.0,0.0,,1998,,TEN,,,,33,,90.0,77,,,230,559,176,96.0,11.2,201.8,,,,7.3,-7,
1999,105.0,5.72,6.2,101.0,,10,,331,1973-02-14,,,187,97.0,,,,,,,,,,1.0,,,3,0,1,0,2.0,11,11,6-2,2.4,112.0,,,8,,,,,,,,,65,,,,38,Steve McNair,103.0,6.07,101.0,,56.5,3.6,12,2179,6.6,McNaSt00,QB,,,,,9-2-0,78.6,,,,,,,72,6.5,8,337,4.7,30.6,8,,114.0,0.0,,1999,,TEN,,,,16,,96.0,72,,,230,337,74,97.0,11.7,198.1,,,,4.7,0,
2000,108.0,5.76,6.5,106.0,,13,,396,1973-02-14,,,248,118.0,,,,,,,,,,3.0,,,12,0,3,-31,3.0,16,15,6-2,3.3,100.0,,,13,,,,,,,,,56,,,,25,Steve McNair,111.0,6.44,107.0,,62.6,3.8,15,2847,7.2,McNaSt00,QB,,,,,12-3-0,83.2,,,,,,,72,4.5,0,403,5.6,25.2,0,,108.0,0.0,,2000,,TEN,,,,24,,99.0,72,,,230,403,141,108.0,11.5,177.9,,,,5.6,-31,
2001,116.0,6.37,7.5,120.0,,13,,431,1973-02-14,,,264,108.0,,,,,,,,,,1.0,,,5,0,1,-15,4.0,15,15,6-2,2.8,107.0,,,12,,,,,,,,,71,,,,24,Steve McNair,114.0,6.62,116.0,,61.3,4.9,21,3350,7.8,McNaSt00,QB,,,,,7-8-0,90.2,,,,,,,75,5.0,5,414,5.5,27.6,5,,93.0,0.0,,2001,,TEN,,,,37,,113.0,75,,,230,414,251,120.0,12.7,223.3,,,,5.5,-15,
2002,110.0,5.91,6.4,106.0,,15,,492,1973-02-14,,,301,107.0,,,,,,,,,,3.0,,,9,0,6,-22,3.0,16,16,6-2,3.0,103.0,,,15,,,,,,,,,55,,,,26,Steve McNair,111.0,6.37,107.0,,61.2,4.5,22,3387,6.9,McNaSt00,QB,,,,,11-5-0,84.0,,,,,,,82,5.1,3,440,5.4,27.5,3,,116.0,0.0,,2002,,TEN,,,,21,,108.0,82,,,230,440,121,104.0,11.3,211.7,,,,5.4,-22,
2003,131.0,7.81,8.5,129.0,,14,,400,1973-02-14,,100.0,250,110.0,,,,,,,,,,1.0,,,12,0,3,-5,1.0,14,14,6-2,1.8,124.0,,,7,,,,,,,,,73,,,4.0,23,Steve McNair,126.0,7.42,126.0,,62.5,6.0,24,3215,8.0,McNaSt00,QB,,,,,10-4-0,100.4,0.0,4.0,0.3,4.0,1.0,0.1,38,2.7,4,138,3.6,9.9,4,,113.0,0.0,,2003,,TEN,,,1.0,19,,123.0,39,,,230,142,108,123.0,12.9,229.6,,,,3.6,-5,
2004,88.0,4.4,5.1,86.0,,3,,215,1973-02-14,,,129,102.0,,,,,,,,,,1.0,,,5,0,1,0,1.0,8,8,6-2,4.2,82.0,,,9,,,,,,,,,37,,,,23,Steve McNair,92.0,5.47,91.0,,60.0,3.7,8,1343,6.2,McNaSt00,QB,,,,,3-5-0,73.1,,,,,,,23,2.9,1,128,5.6,16.0,1,,106.0,0.0,,2004,,TEN,,,,13,,96.0,23,,,230,128,95,90.0,10.4,167.9,,,,5.6,0,
