,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1984,103.0,5.19,6.6,106.0,,10,,450,1956-11-18,,,259,105.0,,,,,,,,,,1.0,,,17.0,,7.0,-1.0,2.0,16,16,6-3,3.1,114.0,,,14,,,,,,,,,76,,,,31.0,Warren Moon,101.0,5.97,102.0,,57.6,2.7,12,3338,7.4,MoonWa00,QB,,,,,3-13-0,76.9,,,,,,,58.0,3.6,1.0,211.0,3.6,13.2,1.0,,93.0,0.0,,1984,,HOU,,,,47,,83.0,58.0,,,218,211.0,371,106.0,12.9,208.6,,,,3.6,-1.0,
1985,91.0,4.23,5.7,96.0,,8,,377,1956-11-18,,,200,91.0,,,,,,,,,,2.0,,,12.0,,5.0,-8.0,3.0,14,14,6-3,5.0,87.0,,,19,,,,,,,,,80,,,,17.0,Warren Moon,94.0,5.54,92.0,,53.1,4.0,15,2709,7.2,MoonWa00,QB,,,,,4-10-0,68.5,,,,,,,39.0,2.8,0.0,130.0,3.3,9.3,0.0,,83.0,0.0,,1985,,HOU,,,,46,,99.0,39.0,,,218,130.0,366,103.0,13.5,193.5,,,,3.3,-8.0,
1986,90.0,4.25,5.3,90.0,,9,,488,1956-11-18,,,256,90.0,,,,,,,,,,,,,11.0,,3.0,-4.0,,15,15,6-3,5.3,82.0,,,26,,,,,,,,,81,,,,19.0,Warren Moon,102.0,5.97,84.0,,52.5,2.7,13,3489,7.1,MoonWa00,QB,,,,,5-10-0,62.3,,,,,,,42.0,2.8,2.0,157.0,3.7,10.5,2.0,,100.0,0.0,,1986,,HOU,,,,41,,83.0,42.0,,,218,157.0,332,103.0,13.6,232.6,,,,3.7,-4.0,
1987,108.0,5.64,6.6,107.0,,10,,368,1956-11-18,,,184,84.0,,,,,,,,,,3.0,,,8.0,,6.0,-7.0,3.0,12,12,6-3,4.9,87.0,,,18,,,,,,,,,83,,,,20.0,Warren Moon,115.0,6.64,100.0,,50.0,5.7,21,2806,7.6,MoonWa00,QB,,,,,7-5-0,74.2,,,,,,,34.0,2.8,3.0,112.0,3.3,9.3,3.0,,106.0,0.0,,1987,,HOU,,,,25,,117.0,34.0,,,218,112.0,198,114.0,15.3,233.8,,,,3.3,-7.0,
1988,128.0,7.15,7.8,123.0,,11,,294,1956-11-18,,,160,98.0,,,,,,,,,,1.0,,,8.0,,4.0,-12.0,1.0,11,11,6-3,2.7,116.0,,,8,,,,,,,,,57,,,,14.0,Warren Moon,125.0,7.21,117.0,,54.4,5.8,17,2327,7.9,MoonWa00,QB,,,,,7-4-0,88.4,,,,,,,33.0,3.0,5.0,88.0,2.7,8.0,5.0,,120.0,0.0,,1988,,HOU,,,,12,,118.0,33.0,,,218,88.0,120,119.0,14.5,211.5,,,,2.7,-12.0,
1989,116.0,6.4,7.5,117.0,,15,,464,1956-11-18,,,280,117.0,,,,,,,,,,2.0,,,11.0,,6.0,-13.0,3.0,16,16,6-3,3.0,110.0,,,14,,,,,,,,,55,,,,19.0,Warren Moon,114.0,6.74,118.0,,60.3,5.0,23,3631,7.8,MoonWa00,QB,,,,,9-7-0,88.9,,,,,,,70.0,4.4,4.0,268.0,3.8,16.8,4.0,,100.0,0.0,,1989,,HOU,,,,35,,111.0,70.0,,,218,268.0,267,117.0,13.0,226.9,,,,3.8,-13.0,
1990,127.0,7.28,8.2,128.0,,19,,584,1956-11-18,,,362,121.0,,,,,,,,,,1.0,,,18.0,,4.0,0.0,1.0,15,15,6-3,2.2,120.0,,,13,,,,,,,,,87,,,,17.0,Warren Moon,122.0,7.16,129.0,,62.0,5.7,33,4689,8.0,MoonWa00,QB,,,,,8-7-0,96.8,,,,,,,55.0,3.7,2.0,215.0,3.9,14.3,2.0,,108.0,0.0,,1990,,HOU,,,,36,,119.0,55.0,,,218,215.0,252,123.0,13.0,312.6,,,,3.9,0.0,
1991,110.0,5.95,6.4,105.0,,15,,655,1956-11-18,,,404,117.0,,,,,,,,,,4.0,,,11.0,,4.0,-4.0,5.0,16,16,6-3,3.2,106.0,,,21,,,,,,,,,61,,,,12.0,Warren Moon,114.0,6.66,107.0,,61.7,3.5,23,4690,7.2,MoonWa00,QB,,,,,11-5-0,81.7,,,,,,,33.0,2.1,2.0,68.0,2.1,4.3,2.0,,124.0,0.0,,1991,,HOU,,,,23,,96.0,33.0,,,218,68.0,174,105.0,11.6,293.1,,,,2.1,-4.0,
1992,114.0,6.18,6.8,111.0,,11,,346,1956-11-18,,,224,123.0,,,,,,,,,,2.0,,,7.0,,0.0,-6.0,2.0,11,10,6-3,3.5,101.0,,,12,,,,,,,,,72,,,,23.0,Warren Moon,114.0,6.67,118.0,,64.7,5.2,18,2521,7.3,MoonWa00,QB,,,,,6-4-0,89.3,,,,,,,27.0,2.5,1.0,147.0,5.4,13.4,1.0,,116.0,0.0,,1992,,HOU,,,,16,,118.0,27.0,,,218,147.0,105,109.0,11.3,229.2,,,,5.4,-6.0,
1993,97.0,4.95,5.7,96.0,,12,,520,1956-11-18,,,303,101.0,,,,,,,,,,1.0,,,13.0,0.0,5.0,-7.0,1.0,15,14,6-3,4.0,90.0,,,21,,,,,,,,,80,,,,35.0,Warren Moon,101.0,5.9,98.0,,58.3,4.0,21,3485,6.7,MoonWa00,QB,,,,,10-4-0,75.2,,,,,,,48.0,3.2,1.0,145.0,3.0,9.7,1.0,,104.0,0.0,,1993,,HOU,,,,34,,104.0,48.0,,,218,145.0,218,99.0,11.5,232.3,,,,3.0,-7.0,
