,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1989,92.0,4.55,6.0,98.0,,6,,195,1966-03-16,,,103,91.0,,,,,,,,,,1.0,,,9.0,,3.0,0.0,1.0,8,8,6-0,4.6,89.0,,,9,,,,,,,,,69,,,,14.0,Rodney Peete,98.0,5.92,89.0,,52.8,2.6,5,1479,7.6,PeetRo00,QB,,,,,3-5-0,67.0,,,,,,,33.0,4.1,4.0,148.0,4.5,18.5,4.0,,66.0,0.0,,1989,,DET,,,,27,,82.0,33.0,,,230,148.0,164,112.0,14.4,184.9,,,,4.5,0.0,
1990,106.0,5.71,6.9,111.0,,11,,271,1966-03-16,,,142,85.0,,,,,,,,,,0.0,,,9.0,,1.0,0.0,1.0,11,11,6-0,3.0,110.0,,,8,,,,,,,,,68,,,,37.0,Rodney Peete,100.0,6.04,105.0,,52.4,4.8,13,1974,7.3,PeetRo00,QB,,,,,4-7-0,79.8,,,,,,,47.0,4.3,6.0,363.0,7.7,33.0,6.0,,87.0,0.0,,1990,,DET,,,,27,,110.0,47.0,,,230,363.0,173,106.0,13.9,179.5,,,,7.7,0.0,
1991,96.0,4.84,5.3,90.0,,6,,194,1966-03-16,,,116,110.0,,,,,,,,,,1.0,,,2.0,,1.0,-1.0,1.0,8,8,6-0,4.6,84.0,,,9,,,,,,,,,68,,,,26.0,Rodney Peete,108.0,6.33,91.0,,59.8,2.6,5,1339,6.9,PeetRo00,QB,,,,,6-2-0,69.9,,,,,,,25.0,3.1,2.0,125.0,5.0,15.6,2.0,,112.0,0.0,,1991,,DET,,,,11,,85.0,25.0,,,230,125.0,42,100.0,11.5,167.4,,,,5.0,-1.0,
1992,105.0,5.42,6.9,113.0,,7,,213,1966-03-16,,,123,100.0,,,,,,,,,,,,,6.0,,2.0,-7.0,,10,10,6-0,4.2,89.0,,,9,,,,,,,,,78,,,,12.0,Rodney Peete,109.0,6.36,105.0,,57.7,4.2,9,1702,8.0,PeetRo00,QB,,,,,2-8-0,80.0,,,,,,,21.0,2.1,0.0,83.0,4.0,8.3,0.0,,72.0,0.0,,1992,,DET,,,,28,,107.0,21.0,,,230,83.0,170,122.0,13.8,170.2,,,,4.0,-7.0,
1993,77.0,3.45,4.6,81.0,,5,,252,1966-03-16,,,157,113.0,,,,,,,,,,1.0,,,11.0,0.0,4.0,-8.0,3.0,10,10,6-0,5.6,67.0,,,14,,,,,,,,,93,,,,28.0,Rodney Peete,89.0,5.23,86.0,,62.3,2.4,6,1670,6.6,PeetRo00,QB,,,,,6-4-0,66.4,,,,,,,45.0,4.5,1.0,165.0,3.7,16.5,1.0,,67.0,0.0,,1993,,DET,,,,34,,82.0,45.0,,,230,165.0,174,97.0,10.6,167.0,,,,3.7,-8.0,
1994,138.0,8.07,9.0,141.0,,2,,56,1966-03-16,,,33,103.0,,,,,,,,,,1.0,,,3.0,0.0,2.0,-1.0,1.0,7,1,6-0,1.8,121.0,,,1,,,,,,,,,65,,,,2.0,Rodney Peete,131.0,7.48,133.0,,58.9,7.1,4,470,8.4,PeetRo00,qb,,,,,1-0-0,102.5,,,,,,,9.0,1.3,0.0,-2.0,-0.2,-0.3,0.0,,97.0,0.0,,1994,,DAL,,,,4,,142.0,9.0,,,230,-2.0,21,135.0,14.2,67.1,,,,-0.2,-1.0,
1995,82.0,4.14,4.9,82.0,,6,,375,1966-03-16,,,215,98.0,,,,,,,,,,3.0,,,13.0,0.0,5.0,0.0,4.0,15,12,6-0,3.7,91.0,,,14,,,,,,,,,37,,,,18.0,Rodney Peete,85.0,5.29,84.0,,57.3,2.1,8,2326,6.2,PeetRo00,QB,,,,,9-3-0,67.3,,,,,,,32.0,2.1,1.0,147.0,4.6,9.8,1.0,,87.0,0.0,,1995,,PHI,,,,33,,77.0,32.0,,,230,147.0,166,87.0,10.8,155.1,,,,4.6,0.0,
1996,102.0,5.34,6.2,101.0,,3,,134,1966-03-16,,,80,109.0,,,,,,,,,,,,,2.0,0.0,1.0,0.0,,5,5,6-0,3.7,91.0,,,5,,,,,,,,,62,,,,11.0,Rodney Peete,115.0,6.48,95.0,,59.7,2.2,3,992,7.4,PeetRo00,qb,,,,,3-2-0,74.6,,,,,,,20.0,4.0,1.0,31.0,1.6,6.2,1.0,,94.0,0.0,,1996,,PHI,,,,11,,79.0,20.0,,,230,31.0,53,117.0,12.4,198.4,,,,1.6,0.0,
1997,98.0,5.07,6.5,105.0,,2,,118,1966-03-16,,,68,103.0,,,,,,,,,,2.0,,,5.0,0.0,2.0,-2.0,2.0,5,3,6-0,3.4,98.0,,,4,,,,,,,,,38,,,,16.0,Rodney Peete,100.0,5.81,101.0,,57.6,3.4,4,869,7.4,PeetRo00,qb,,,,,2-1-0,78.0,,,,,,,8.0,1.6,0.0,37.0,4.6,7.4,0.0,,67.0,0.0,,1997,,PHI,,,,17,,94.0,8.0,,,230,37.0,85,112.0,12.8,173.8,,,,4.6,-2.0,
1998,80.0,3.55,4.8,85.0,,2,,129,1966-03-16,,,71,93.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,5,4,6-0,3.1,102.0,,,4,,,,,,,,,25,,,,19.0,Rodney Peete,76.0,4.52,85.0,,55.0,1.6,2,758,5.9,PeetRo00,qb,,,,,1-3-0,64.7,,,,,,,5.0,1.0,1.0,30.0,6.0,6.0,1.0,,77.0,0.0,,1998,,PHI,,,,16,,75.0,5.0,,,230,30.0,103,84.0,10.7,151.6,,,,6.0,0.0,
1999,,4.89,6.0,,,0,,17,1966-03-16,,,8,,,,,,,,,,,,,,0.0,,,,,3,0,6-0,5.9,,,,1,,,,,,,,,30,,,,0.0,Rodney Peete,,5.16,,,47.1,11.8,2,107,6.3,PeetRo00,,,,,,,82.2,,,,,,,2.0,0.7,0.0,-1.0,-0.5,-0.3,0.0,,,,,1999,,WAS,,,,2,,,2.0,,,230,-1.0,9,,13.4,35.7,,,,-0.5,,
2001,,,,,,0,,0,1966-03-16,,,0,,,,,,,,,,,,,,,,,,,1,0,6-0,,,,,0,,,,,,,,,0,,,,,Rodney Peete,,,,,,,0,0,,PeetRo00,,,,,,,,,,,,,,,,,,,,,,,,,2001,,OAK,,,,0,,,,,,230,,0,,,0.0,,,,,,
2002,98.0,5.12,6.0,100.0,,6,,381,1966-03-16,,,223,98.0,,,,,,,,,,0.0,,,10.0,0.0,1.0,-9.0,1.0,14,14,6-0,3.7,92.0,,,14,,,,,,,,,69,,,,10.0,Rodney Peete,101.0,5.92,97.0,,58.5,3.9,15,2630,6.9,PeetRo00,QB,,,,,7-7-0,77.4,,,,,,,22.0,1.6,0.0,14.0,0.6,1.0,0.0,,93.0,0.0,,2002,,CAR,,,,31,,100.0,22.0,,,230,14.0,192,104.0,11.8,187.9,,,,0.6,-9.0,
2003,,-0.08,1.9,,,0,,10,1966-03-16,,,4,,,,,,,,,,,,,,,,,,,1,1,6-0,0.0,,,,0,,,,,,,,,8,,,,,Rodney Peete,,-0.08,,,40.0,0.0,0,19,1.9,PeetRo00,qb,,,,,1-0-0,47.9,,,,,,,,,,,,,,,,,,2003,,CAR,,,,3,,,,,,230,,20,,4.8,19.0,,,,,,
2004,,3.0,3.0,,,0,,1,1966-03-16,,,1,,,,,,,,,,,,,,0.0,,,,,1,0,6-0,0.0,,,,0,,,,,,,,,3,,,,-1.0,Rodney Peete,,3.0,,,100.0,0.0,0,3,3.0,PeetRo00,,,,,,,79.2,,,,,,,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,,,,,2004,,CAR,,,,0,,,1.0,,,230,-1.0,0,,3.0,3.0,,,,-1.0,,
Career,,4.77,5.8,,,56,,2346,1966-03-16,,,1344,,,,,,,,,,,9.0,,,71.0,0.0,22.0,-28.0,14.0,104,87,6-0,3.9,,,,92,,,,,,,,,93,,,,37.0,Rodney Peete,,5.78,,,57.3,3.2,76,16338,7.0,PeetRo00,,,,,,45-42-0,73.3,,,,,,,270.0,2.6,16.0,1139.0,4.2,11.0,16.0,,,0.0,,Career,,,,,,244,,,270.0,,,230,1139.0,1372,,12.2,157.1,,,,4.2,-28.0,
