,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2000,,13.83,17.4,,,0,,5,1976-06-26,,,2,,,,,,,,,,,,,,0.0,,,,,1,0,6-3,0.0,,,,0,,,,,,,,,62,,,,0.0,Chad Pennington,,10.5,,,40.0,20.0,1,67,13.4,PennCh01,,,,,,,127.1,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,2000,,NYJ,,,,1,,,1.0,,,230,0.0,4,,33.5,67.0,,,,0.0,,
2001,,4.95,5.6,,,0,,20,1976-06-26,,,10,,,,,,,,,,,,,,0.0,,,,,2,0,6-3,0.0,,,,0,,,,,,,,,24,,,,11.0,Chad Pennington,,4.0,,,50.0,5.0,1,92,4.6,PennCh01,,,,,,,79.6,,,,,,,1.0,0.5,0.0,11.0,11.0,5.5,0.0,,,,,2001,,NYJ,,,,1,,,1.0,,,230,11.0,8,,9.2,46.0,,,,11.0,,
2002,135.0,7.49,8.2,134.0,,12,,399,1976-06-26,,,275,135.0,,,,,,,,,,1.0,,,2.0,0.0,1.0,0.0,2.0,15,12,6-3,1.5,129.0,,,6,,,,,,,,,47,,,,14.0,Chad Pennington,127.0,7.09,138.0,,68.9,5.5,22,3120,7.8,PennCh01,QB,,,,,8-4-0,104.2,,,,,,,29.0,1.9,2.0,49.0,1.7,3.3,2.0,,108.0,0.0,,2002,,NYJ,,,,22,,123.0,29.0,,,230,49.0,135,125.0,11.3,208.0,,,,1.7,0.0,
2003,98.0,5.28,6.3,101.0,,7,,297,1976-06-26,,,189,114.0,,,,,,,,,,2.0,,,8.0,0.0,6.0,-17.0,2.0,10,9,6-3,4.0,85.0,,,12,,,,,,,,,65,,,,10.0,Chad Pennington,103.0,6.15,103.0,,63.6,4.4,13,2139,7.2,PennCh01,QB,,,,,4-5-0,82.9,,,,,,,21.0,2.1,2.0,42.0,2.0,4.2,2.0,,91.0,0.0,,2003,,NYJ,,,,25,,103.0,21.0,,,230,42.0,160,107.0,11.3,213.9,,,,2.0,-17.0,
2004,112.0,6.4,7.0,109.0,,10,,370,1976-06-26,,,242,120.0,,,,,,,,,,2.0,,,5.0,0.0,1.0,-3.0,2.0,13,13,6-3,2.4,113.0,,,9,,,,,,,,,48,,,,16.0,Chad Pennington,111.0,6.62,113.0,,65.4,4.3,16,2673,7.2,PennCh01,QB,,,,,8-5-0,91.0,,,,,,,34.0,2.6,1.0,126.0,3.7,9.7,1.0,,114.0,0.0,,2004,,NYJ,,,,18,,103.0,34.0,,,230,126.0,103,107.0,11.0,205.6,,,,3.7,-3.0,
2005,85.0,4.16,5.2,87.0,,2,,83,1976-06-26,,,49,98.0,,,,,,,,,,,,,8.0,0.0,4.0,-22.0,,3,3,6-3,3.6,92.0,,,3,,,,,,,,,37,,,,14.0,Chad Pennington,87.0,5.2,87.0,,59.0,2.4,2,530,6.4,PennCh01,qb,,,,,1-2-0,70.9,,,,,,,6.0,2.0,0.0,27.0,4.5,9.0,0.0,,80.0,0.0,,2005,,NYJ,,,,9,,81.0,6.0,,,230,27.0,52,91.0,10.8,176.7,,,,4.5,-22.0,
2006,100.0,5.44,6.1,99.0,,12,,485,1976-06-26,0.0,0.0,313,115.0,62.3,,,,,,,,,1.0,,,7.0,0.0,1.0,-3.0,2.0,16,16,6-3,3.3,97.0,,,16,,,,,,,,,71,29.0,,7.0,15.0,Chad Pennington,103.0,6.17,102.0,,64.5,3.5,17,3352,6.9,PennCh01,QB,,,,1.0,10-6-0,82.6,0.0,7.0,0.4,,0.0,0.0,35.0,2.2,0.0,109.0,3.1,6.8,0.0,,104.0,0.0,,2006,,NYJ,,,1.0,30,29.0,94.0,35.0,,,230,116.0,172,102.0,10.7,209.5,,29.0,,3.3,-3.0,
2007,91.0,4.83,6.0,96.0,,5,,260,1976-06-26,,,179,129.0,49.1,,,,,,,,,,,,5.0,0.0,2.0,-3.0,,9,8,6-3,3.5,93.0,,,9,,,,,,,,,57,,,,5.0,Chad Pennington,91.0,5.55,106.0,,68.8,3.8,10,1765,6.8,PennCh01,QB,,,,,1-7-0,86.1,,,,,,,20.0,2.2,1.0,32.0,1.6,3.6,1.0,,81.0,0.0,,2007,,NYJ,,,,26,,98.0,20.0,,,230,32.0,178,98.0,9.9,196.1,,,,1.6,-3.0,
2008,118.0,7.19,7.8,117.0,,13,,476,1976-06-26,,,321,121.0,69.7,,,,,,,,,1.0,,,3.0,0.0,1.0,-3.0,2.0,16,16,6-3,1.5,122.0,,,7,,,,,,,,,80,,,,16.0,Chad Pennington,116.0,7.06,117.0,,67.4,4.0,19,3653,7.7,PennCh01,QB,,,,,11-5-0,97.4,,,,,,,30.0,1.9,1.0,62.0,2.1,3.9,1.0,,108.0,0.0,,2008,,MIA,,,,24,,99.0,30.0,,,230,62.0,121,114.0,11.4,228.3,,,,2.1,-3.0,
2009,78.0,3.89,4.6,78.0,,1,,74,1976-06-26,,,51,127.0,48.2,,,,,,,,,,,,3.0,0.0,0.0,0.0,,3,3,6-3,2.7,103.0,,,2,,,,,,,,,21,,,,4.0,Chad Pennington,75.0,4.76,91.0,,68.9,1.4,1,413,5.6,PennCh01,qb,,,,,0-3-0,76.0,,,,,,,3.0,1.0,0.0,7.0,2.3,2.3,0.0,,89.0,0.0,,2009,,MIA,,,,6,,66.0,3.0,,,230,7.0,32,74.0,8.1,137.7,,,,2.3,0.0,
