,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,,,,,,0,,0,1980-04-21,,,0,,,,,,,,,,,,,,,,,,,6,0,6-2,,,,,0,,,,,,,,,0,,,,,Tony Romo,,,,,,,0,0,,RomoTo00,,,,,,,,,,,,,,,,,,,,,,,,,2004,,DAL,,,,0,,,,,,230,,0,,,0.0,,,,,,
2005,,,,,,0,,0,1980-04-21,,,0,,,,,,,,,,,,,,0.0,,,,,16,0,6-2,,,,,0,,,,,,,,,0,,,,-1.0,Tony Romo,,,,,,,0,0,,RomoTo00,,,,,,,,,,,,,,2.0,0.1,0.0,-2.0,-1.0,-0.1,0.0,,,,,2005,,DAL,,,,0,,,2.0,,,230,-2.0,0,,,0.0,,,,-1.0,,
2006,122.0,7.19,8.0,123.0,,12,,337,1980-04-21,,,220,117.0,67.9,,,,,,,,,2.0,,,9.0,0.0,3.0,-20.0,3.0,16,10,6-2,3.9,88.0,,,13,,,,,,,,,56,,,,16.0,Tony Romo,131.0,7.76,119.0,,65.3,5.6,19,2903,8.6,RomoTo00,QB,,,,,6-4-0,95.1,,,,,,,34.0,2.1,0.0,102.0,3.0,6.4,0.0,,104.0,0.0,,2006,,DAL,,,,21,,119.0,34.0,,,230,102.0,124,135.0,13.2,181.4,,,,3.0,-20.0,
2007,121.0,7.17,7.8,121.0,,17,,520,1980-04-21,,,335,113.0,78.6,,,,,,,,,2.0,,,10.0,0.0,5.0,-4.0,2.0,16,16,6-2,3.7,90.0,,,19,,,,,,,,,59,,,,17.0,Tony Romo,124.0,7.42,121.0,,64.4,6.9,36,4211,8.1,RomoTo00,QB,,,,,13-3-0,97.4,,,,,,,31.0,1.9,2.0,129.0,4.2,8.1,2.0,,111.0,0.0,,2007,,DAL,,,,24,,133.0,31.0,,,230,129.0,176,125.0,12.6,263.2,,,,4.2,-4.0,
2008,114.0,6.84,7.4,112.0,,10,,450,1980-04-21,,,276,101.0,56.3,,,,,,,,,2.0,,,13.0,0.0,3.0,-29.0,2.0,13,13,6-2,3.1,98.0,,,14,,,,,,,,,75,,,,15.0,Tony Romo,116.0,7.07,110.0,,61.3,5.8,26,3448,7.7,RomoTo00,QB,,,,,8-5-0,91.4,,,,,,,28.0,2.2,0.0,41.0,1.5,3.2,0.0,,112.0,0.0,,2008,,DAL,,,,20,,119.0,28.0,,,230,41.0,123,114.0,12.5,265.2,,,,1.5,-29.0,
2009,122.0,7.54,8.4,123.0,,14,,550,1980-04-21,,,347,107.0,64.5,,,,,,,,,3.0,,,6.0,0.0,2.0,-5.0,3.0,16,16,6-2,1.6,118.0,,,9,,,,,,,,,80,,,,17.0,Tony Romo,121.0,7.34,117.0,,63.1,4.7,26,4483,8.2,RomoTo00,QB,,,,,11-5-0,97.6,,,,,,,35.0,2.2,1.0,105.0,3.0,6.6,1.0,,101.0,0.0,,2009,,DAL,,,,34,,108.0,35.0,,,230,105.0,196,122.0,12.9,280.2,,,,3.0,-5.0,
2010,110.0,6.68,7.1,106.0,,6,,213,1980-04-21,,0.0,148,128.0,68.1,,,,,,,,,,,,0.0,,,,,6,6,6-2,3.3,95.0,,,7,,,,,,,,,69,,,11.0,14.0,Tony Romo,115.0,7.11,112.0,,69.5,5.2,11,1605,7.5,RomoTo00,qb,,,,,1-5-0,94.9,0.0,11.0,1.8,,0.0,0.0,6.0,1.0,0.0,38.0,6.3,6.3,0.0,,123.0,,,2010,,DAL,,,0.0,7,,110.0,6.0,,,230,49.0,41,108.0,10.8,267.5,,,,8.2,,
2011,120.0,7.4,8.3,122.0,,13,,522,1980-04-21,,,346,120.0,69.5,,,,,,,,,4.0,,,7.0,0.0,6.0,-3.0,4.0,16,16,6-2,1.9,115.0,,,10,,,,,,,,,77,,,,17.0,Tony Romo,116.0,7.09,123.0,,66.3,5.9,31,4184,8.0,RomoTo00,QB,,,,,8-8-0,102.5,,,,,,,22.0,1.4,1.0,46.0,2.1,2.9,1.0,,98.0,0.0,,2011,,DAL,,,,36,,119.0,22.0,,,230,46.0,227,119.0,12.1,261.5,,,,2.1,-3.0,
2012,106.0,6.35,7.1,105.0,,14,,648,1980-04-21,,100.0,425,117.0,65.4,,,,,,,,,5.0,,,6.0,0.0,2.0,-15.0,5.0,16,16,6-2,2.9,97.0,,,19,,,,,,,,,85,,,-1.0,15.0,Tony Romo,110.0,6.78,106.0,,65.6,4.3,28,4903,7.6,RomoTo00,QB,,,,,8-8-0,90.5,0.0,-1.0,-0.1,-1.0,1.0,0.1,30.0,1.9,1.0,49.0,1.6,3.1,1.0,,109.0,0.0,,2012,,DAL,,,1.0,36,,100.0,31.0,,,230,48.0,263,109.0,11.5,306.4,,,,1.5,-15.0,
2013,108.0,6.54,7.5,109.0,,13,,535,1980-04-21,,,342,109.0,62.0,,,,,,,,,2.0,,,4.0,0.0,4.0,-6.0,4.0,15,15,6-2,1.9,113.0,,,10,,,,,,,,,82,,,,15.0,Tony Romo,99.0,6.24,113.0,,63.9,5.8,31,3828,7.2,RomoTo00,QB,,,,,8-7-0,96.7,,,,,,,20.0,1.3,0.0,38.0,1.9,2.5,0.0,,102.0,0.0,,2013,,DAL,,,,35,,116.0,20.0,,,230,38.0,272,100.0,11.2,255.2,,,,1.9,-6.0,
