,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1988,116.0,6.26,7.2,115.0,,6.0,,208.0,1962-10-02,,,114.0,99.0,,,,,,,,,,,,,6.0,,0.0,0.0,,9.0,6.0,6-4,6.3,68.0,,,13.0,,,,,,,,,60.0,,,,19.0,Mark Rypien,126.0,7.27,113.0,,54.8,8.7,18.0,1730.0,8.3,RypiMa00,qb,,,,,3-3-0,85.2,,,,,,,9.0,1.0,1.0,31.0,3.4,3.4,1.0,,105.0,0.0,,1988,,WAS,,,,14.0,,149.0,9.0,,,231,31.0,115.0,128.0,15.2,192.2,,,,3.4,0.0,
1989,126.0,7.14,7.6,119.0,,12.0,,476.0,1962-10-02,,,280.0,112.0,,,,,,,,,,3.0,,,14.0,,2.0,0.0,3.0,14.0,14.0,6-4,2.7,114.0,,,13.0,,,,,,,,,80.0,,,,15.0,Mark Rypien,128.0,7.44,117.0,,58.8,4.6,22.0,3768.0,7.9,RypiMa00,QB,,,,,9-5-0,88.1,,,,,,,26.0,1.9,1.0,56.0,2.2,4.0,1.0,,125.0,0.0,,1989,,WAS,,,,16.0,,107.0,26.0,,,231,56.0,108.0,119.0,13.5,269.1,,,,2.2,0.0,
1990,110.0,6.01,6.2,101.0,,8.0,,304.0,1962-10-02,,,166.0,93.0,,,,,,,,,,1.0,,,2.0,,0.0,-3.0,1.0,10.0,10.0,6-4,3.6,100.0,,,11.0,,,,,,,,,53.0,,,,8.0,Mark Rypien,111.0,6.57,103.0,,54.6,5.3,16.0,2070.0,6.8,RypiMa00,QB,,,,,7-3-0,78.4,,,,,,,15.0,1.5,0.0,4.0,0.3,0.4,0.0,,132.0,0.0,,1990,,WAS,,,,6.0,,115.0,15.0,,,231,4.0,33.0,95.0,12.5,207.0,,,,0.3,-3.0,
1991,141.0,8.34,8.6,135.0,,17.0,,421.0,1962-10-02,,,249.0,108.0,,,,,,,,,,2.0,,,9.0,,3.0,-5.0,5.0,16.0,16.0,6-4,2.6,115.0,,,11.0,,,,,,,,,82.0,,,,11.0,Mark Rypien,142.0,8.19,130.0,,59.1,6.7,28.0,3564.0,8.5,RypiMa00,QB,,,,,14-2-0,97.9,,,,,,,15.0,0.9,1.0,6.0,0.4,0.4,1.0,,134.0,0.0,,1991,,WAS,,,,7.0,,132.0,15.0,,,231,6.0,59.0,133.0,14.3,222.8,,,,0.4,-5.0,
1992,101.0,5.18,5.8,98.0,,12.0,,479.0,1962-10-02,,,269.0,95.0,,,,,,,,,,1.0,,,4.0,,2.0,0.0,1.0,16.0,16.0,6-4,3.5,99.0,,,17.0,,,,,,,,,62.0,,,,11.0,Mark Rypien,106.0,6.19,94.0,,56.2,2.7,13.0,3282.0,6.9,RypiMa00,QB,,,,,9-7-0,71.7,,,,,,,36.0,2.3,2.0,50.0,1.4,3.1,2.0,,116.0,0.0,,1992,,WAS,,,,23.0,,89.0,36.0,,,231,50.0,176.0,101.0,12.2,205.1,,,,1.4,0.0,
1993,74.0,3.16,3.6,67.0,,1.0,,319.0,1962-10-02,,,166.0,83.0,,,,,,,,,,1.0,,,7.0,0.0,0.0,-2.0,1.0,12.0,10.0,6-4,3.1,104.0,,,10.0,,,,,,,,,43.0,,,,5.0,Mark Rypien,71.0,4.26,73.0,,52.0,1.3,4.0,1514.0,4.7,RypiMa00,QB,,,,,3-7-0,56.3,,,,,,,9.0,0.8,3.0,4.0,0.4,0.3,3.0,,113.0,0.0,,1993,,WAS,,,,16.0,,68.0,9.0,,,231,4.0,87.0,60.0,9.1,126.2,,,,0.4,-2.0,
1994,93.0,4.83,5.0,84.0,,2.0,,128.0,1962-10-02,,0.0,59.0,63.0,,,,,,,,,,0.0,,,2.0,0.0,0.0,-1.0,1.0,6.0,3.0,6-4,2.3,112.0,,,3.0,,,,,,,,,43.0,,,0.0,2.0,Mark Rypien,87.0,5.25,80.0,,46.1,3.1,4.0,694.0,5.4,RypiMa00,qb,,,,,2-1-0,63.7,0.0,0.0,0.0,,0.0,0.0,7.0,1.2,0.0,4.0,0.6,0.7,0.0,,131.0,0.0,,1994,,CLE,,,1.0,2.0,,92.0,7.0,,,231,4.0,11.0,72.0,11.8,115.7,,,,0.6,-1.0,
1995,100.0,5.3,5.8,96.0,,3.0,,217.0,1962-10-02,,,129.0,105.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,11.0,3.0,6-4,3.7,92.0,,,8.0,,,,,,,,,50.0,,,,5.0,Mark Rypien,104.0,6.09,99.0,,59.4,4.1,9.0,1448.0,6.7,RypiMa00,qb,,,,,0-3-0,77.9,,,,,,,9.0,0.8,0.0,10.0,1.1,0.9,0.0,,109.0,0.0,,1995,,STL,,,,11.0,,103.0,9.0,,,231,10.0,60.0,98.0,11.2,131.6,,,,1.1,0.0,
1996,,7.38,7.4,,,0.0,,13.0,1962-10-02,,,10.0,,,,,,,,,,,,,,,,,,,1.0,0.0,6-4,0.0,,,,0.0,,,,,,,,,16.0,,,,,Mark Rypien,,5.85,,,76.9,7.7,1.0,76.0,5.8,RypiMa00,,,,,,,116.2,,,,,,,,,,,,,,,,,,1996,,PHI,,,,0.0,,,,,,231,,0.0,,7.6,76.0,,,,,,
1997,,4.28,4.6,,,1.0,,39.0,1962-10-02,,,19.0,,,,,,,,,,,,,,0.0,,,,,5.0,0.0,6-4,5.1,,,,2.0,,,,,,,,,62.0,,,,1.0,Mark Rypien,,6.53,,,48.7,0.0,0.0,270.0,6.9,RypiMa00,,,,,,,50.2,,,,,,,1.0,0.2,0.0,1.0,1.0,0.2,0.0,,,,,1997,,STL,,,,1.0,,,1.0,,,231,1.0,9.0,,14.2,54.0,,,,1.0,,
