,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
1995,,8.11,8.1,,,0,,18,1970-05-01,,,10,,,,,,,,,,,,,,,,,,,1,0,6-1,0.0,,,,0,,,,,,,,,19,,,,,Alex Van Pelt,,5.89,,,55.6,11.1,2,106,5.9,VanPAl00,,,,,,,110.0,,,,,,,,,,,,,,,,,,1995,,BUF,,,,0,,,,,,220,,0,,10.6,106.0,,,,,,
1996,,1.8,1.8,,,0,,5,1970-05-01,,,2,,,,,,,,,,,,,,0.0,,,,,1,0,6-1,0.0,,,,0,,,,,,,,,5,,,,-1.0,Alex Van Pelt,,1.8,,,40.0,0.0,0,9,1.8,VanPAl00,,,,,,,47.9,,,,,,,3.0,3.0,0.0,-5.0,-1.7,-5.0,0.0,,,,,1996,,BUF,,,,0,,,3.0,,,220,-5.0,0,,4.5,9.0,,,,-1.7,,
1997,58.0,1.88,2.2,53.0,,2,,124,1970-05-01,,,60,68.0,,,,,,,,,,0.0,,,3.0,0.0,3.0,-7.0,1.0,6,3,6-1,8.1,32.0,,,10,,,,,,,,,39,,,,9.0,Alex Van Pelt,86.0,5.09,50.0,,48.4,1.6,2,684,5.5,VanPAl00,,,,,,1-2-0,37.2,,,,,,,11.0,1.8,1.0,33.0,3.0,5.5,1.0,,123.0,0.0,,1997,,BUF,,,,4,,75.0,11.0,,,220,33.0,33,77.0,11.4,114.0,,,,3.0,-7.0,
1998,,,,,,0,,0,1970-05-01,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-1,,,,,0,,,,,,,,,0,,,,-1.0,Alex Van Pelt,,,,,,,0,0,,VanPAl00,,,,,,,,,,,,,,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,,,,,1998,,BUF,,,,0,,,1.0,,,220,-1.0,0,,,0.0,,,,-1.0,,
1999,,9.0,9.0,,,0,,1,1970-05-01,,,1,,,,,,,,,,,,,,0.0,,,,,1,0,6-1,0.0,,,,0,,,,,,,,,9,,,,-1.0,Alex Van Pelt,,9.0,,,100.0,0.0,0,9,9.0,VanPAl00,,,,,,,104.2,,,,,,,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,,,,,1999,,BUF,,,,0,,,1.0,,,220,-1.0,0,,9.0,9.0,,,,-1.0,,
2000,,8.38,8.4,,,0,,8,1970-05-01,,,4,,,,,,,,,,,0.0,,,,,,,1.0,1,0,6-1,0.0,,,,0,,,,,,,,,36,,,,,Alex Van Pelt,,8.38,,,50.0,0.0,0,67,8.4,VanPAl00,,,,,,,78.6,,,,,,,,,,,,,,,,,,2000,,BUF,,,,0,,,,,,220,,0,,16.8,67.0,,,,,,
2001,102.0,5.38,5.9,97.0,,5,,307,1970-05-01,,,178,97.0,,,,,,,,,,1.0,,,5.0,0.0,1.0,0.0,1.0,12,8,6-1,3.6,94.0,,,11,,,,,,,,,80,,,,15.0,Alex Van Pelt,106.0,6.18,96.0,,58.0,3.9,12,2056,6.7,VanPAl00,qb,,,,,2-6-0,76.4,,,,,,,12.0,1.0,0.0,33.0,2.8,2.8,0.0,,114.0,0.0,,2001,,BUF,,,,14,,100.0,12.0,,,220,33.0,73,99.0,11.6,171.3,,,,2.8,0.0,
2002,,2.5,2.5,,,0,,2,1970-05-01,,,2,,,,,,,,,,,,,,,,,,,2,0,6-1,0.0,,,,0,,,,,,,,,4,,,,,Alex Van Pelt,,2.5,,,100.0,0.0,0,5,2.5,VanPAl00,,,,,,,79.2,,,,,,,,,,,,,,,,,,2002,,BUF,,,,0,,,,,,220,,0,,2.5,2.5,,,,,,
2003,,-7.15,-7.2,,,0,,12,1970-05-01,,,5,,,,,,,,,,,,,,0.0,,,,,6,0,6-1,25.0,,,,3,,,,,,,,,14,,,,-1.0,Alex Van Pelt,,3.23,,,41.7,0.0,0,49,4.1,VanPAl00,,,,,,,14.2,,,,,,,4.0,0.7,0.0,-6.0,-1.5,-1.0,0.0,,,,,2003,,BUF,,,,1,,,4.0,,,220,-6.0,7,,9.8,8.2,,,,-1.5,,
Career,,4.26,4.7,,,7,,477,1970-05-01,,,262,,,,,,,,,,,1.0,,,8.0,0.0,4.0,-7.0,3.0,31,11,6-1,5.0,,,,24,,,,,,,,,80,,,,15.0,Alex Van Pelt,,5.79,,,54.9,3.4,16,2985,6.3,VanPAl00,,,,,,3-8-0,64.1,,,,,,,32.0,1.0,1.0,53.0,1.7,1.7,1.0,,,0.0,,Career,,,,,,19,,,32.0,,,220,53.0,113,,11.4,96.3,,,,1.7,-7.0,
