,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2001,,0.0,0.0,,,0,,3,1976-04-28,,,0,,,,,,,,,,,,,,,,,,,1,0,6-2,0.0,,,,0,,,,,,,,,0,,,,,Billy Volek,,0.0,,,0.0,0.0,0,0,0.0,VoleBi00,,,,,,,39.6,,,,,,,,,,,,,,,,,,2001,,TEN,,,,0,,,,,,214,,0,,,0.0,,,,,,
2003,122.0,7.13,8.4,128.0,,2,,69,1976-04-28,,,44,114.0,,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,7,1,6-2,1.4,129.0,,,1,,,,,,,,,50,,,,5.0,Billy Volek,113.0,6.67,127.0,,63.8,5.8,4,545,7.9,VoleBi00,qb,,,,,1-0-0,101.4,,,,,,,11.0,1.6,1.0,4.0,0.4,0.6,1.0,,90.0,0.0,,2003,,TEN,,,,6,,121.0,11.0,,,214,4.0,45,120.0,12.4,77.9,,,,0.4,0.0,
2004,103.0,5.63,6.7,106.0,,8,,357,1976-04-28,,100.0,218,106.0,,,,,,,,,,,,,6.0,0.0,3.0,0.0,,10,8,6-2,2.8,106.0,,,10,,,,,,,,,48,,,0.0,14.0,Billy Volek,98.0,5.87,108.0,,61.1,5.0,18,2486,7.0,VoleBi00,QB,,,,,2-6-0,87.1,0.0,0.0,0.0,0.0,1.0,0.1,11.0,1.1,1.0,50.0,4.5,5.0,1.0,,92.0,0.0,,2004,,TEN,,,1.0,30,,111.0,12.0,,,214,50.0,216,102.0,11.4,248.6,,,,4.2,0.0,
2005,87.0,4.32,5.3,88.0,,1,,88,1976-04-28,,,50,90.0,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,6,1,6-2,2.3,115.0,,,2,,,,,,,,,55,,,,3.0,Billy Volek,74.0,4.42,95.0,,56.8,4.5,4,474,5.4,VoleBi00,qb,,,,,0-1-0,77.6,,,,,,,1.0,0.2,0.0,3.0,3.0,0.5,0.0,,83.0,0.0,,2005,,TEN,,,,9,,105.0,1.0,,,214,3.0,45,74.0,9.5,79.0,,,,3.0,0.0,
2006,,-0.67,2.0,,,0,,2,1976-04-28,,,1,,1.4,,,,,,,,,,,,0.0,,,,,1,0,6-2,0.0,,,,0,,,,,,,,,4,,,,-1.0,Billy Volek,,-0.67,,,50.0,0.0,0,4,2.0,VoleBi00,,,,,,,56.2,,,,,,,3.0,3.0,0.0,-3.0,-1.0,-3.0,0.0,,,,,2006,,SDG,,,,1,,,3.0,,,214,-3.0,6,,4.0,4.0,,,,-1.0,,
2007,,-3.83,-3.9,,,0,,10,1976-04-28,,,3,,0.0,,,,,,,,,,,,1.0,0.0,0.0,-2.0,,5,0,6-2,10.0,,,,1,,,,,,,,,4,,,,0.0,Billy Volek,,-0.08,,,30.0,0.0,0,6,0.6,VoleBi00,,,,,,,0.0,,,,,,,11.0,2.2,0.0,-7.0,-0.6,-1.4,0.0,,,0.0,,2007,,SDG,,,,2,,,11.0,,,214,-7.0,7,,2.0,1.2,,,,-0.6,-2.0,
2009,,6.41,6.6,,,1,,31,1976-04-28,,,20,,79.9,,,,,,,,,1.0,,,0.0,,,,1.0,4,0,6-2,3.2,,,,1,,,,,,,,,50,,,,-1.0,Billy Volek,,7.19,,,64.5,3.2,1,231,7.5,VoleBi00,,,,,,,84.2,,,,,,,9.0,2.3,0.0,-9.0,-1.0,-2.3,0.0,,,,,2009,,SDG,,,,1,,,9.0,,,214,-9.0,1,,11.6,57.8,,,,-1.0,,
2010,,8.0,8.0,,,0,,1,1976-04-28,,,1,,89.4,,,,,,,,,,,,0.0,,,,,3,0,6-2,0.0,,,,0,,,,,,,,,8,,,,0.0,Billy Volek,,8.0,,,100.0,0.0,0,8,8.0,VoleBi00,,,,,,,100.0,,,,,,,6.0,2.0,0.0,-5.0,-0.8,-1.7,0.0,,,,,2010,,SDG,,,,0,,,6.0,,,214,-5.0,0,,8.0,2.7,,,,-0.8,,
2011,,,,,,0,,0,1976-04-28,,,0,,0.9,,,,,,,,,,,,0.0,,,,,2,0,6-2,,,,,0,,,,,,,,,0,,,,-1.0,Billy Volek,,,,,,,0,0,,VoleBi00,,,,,,,,,,,,,,5.0,2.5,0.0,-5.0,-1.0,-2.5,0.0,,,,,2011,,SDG,,,,0,,,5.0,,,214,-5.0,0,,,0.0,,,,-1.0,,
Career,,5.41,6.5,,,12,,561,1976-04-28,,100.0,337,,,,,,,,,,,2.0,,,11.0,0.0,3.0,-2.0,2.0,39,10,6-2,2.7,,,,15,,,,,,,,,55,,,0.0,14.0,Billy Volek,,5.63,,,60.1,4.8,27,3754,6.7,VoleBi00,,,,,,3-7-0,84.9,0.0,0.0,0.0,0.0,1.0,0.0,57.0,1.5,2.0,28.0,0.5,0.7,2.0,,,0.0,,Career,,,,,1.0,49,,,58.0,,,214,28.0,320,,11.1,96.3,,,,0.5,-2.0,
