,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,,,,,,0,,0,1982-08-06,,,0,,,,,,,,,,,,,,0.0,,,,,2.0,0.0,6-4,,,,,0,,,,,,,,,0,,,,14.0,Charlie Whitehurst,,,,,,,0,0,,WhitCh02,,,,,,,,,,,,,,2.0,1.0,1.0,13.0,6.5,6.5,1.0,,,,,2006,,SDG,,,,0,,,2.0,,,226,13.0,0,,,0.0,,,,6.5,,
2010,78.0,3.84,4.2,73.0,,2,,99,1982-08-06,,,57,90.0,18.9,,,,,,,,,,,,2.0,0.0,2.0,-16.0,,6.0,2.0,6-4,3.0,99.0,,,3,,,,,,,,,61,,,,9.0,Charlie Whitehurst,75.0,4.75,79.0,,57.6,2.0,2,507,5.1,WhitCh02,qb,,,,,1-1-0,65.5,,,,,,,20.0,3.3,1.0,43.0,2.2,7.2,1.0,,110.0,0.0,,2010,,SEA,,,,5,,75.0,20.0,,,226,43.0,13,66.0,8.9,84.5,,,,2.2,-16.0,
2011,69.0,3.55,4.9,76.0,,1,,56,1982-08-06,,,27,56.0,18.6,,,,,,,,,1.0,,,2.0,0.0,1.0,0.0,1.0,3.0,2.0,6-4,1.8,117.0,,,1,,,,,,,,,38,,,,7.0,Charlie Whitehurst,55.0,3.94,72.0,,48.2,1.8,1,298,5.3,WhitCh02,qb,,,,,0-2-0,62.9,,,,,,,4.0,1.3,0.0,13.0,3.3,4.3,0.0,,49.0,0.0,,2011,,SEA,,,,8,,72.0,4.0,,,226,13.0,46,64.0,11.0,99.3,,,,3.3,0.0,
2012,,,,,,0,,0,1982-08-06,,,0,,,,,,,,,,,0.0,,,,,,,0.0,,,6-4,,,,,0,,,,,,,,,0,,,,,Charlie Whitehurst,,,,,,,0,0,,WhitCh02,,,,,,,,,,,,,,,,,,,,,,,,,2012,,SDG,,,,0,,,,,,226,,0,,,,,,,,,
2013,,,,,,0,,0,1982-08-06,,,0,,36.3,,,,,,,,,,,,0.0,,,,,2.0,0.0,6-4,,,,,0,,,,,,,,,0,,,,0.0,Charlie Whitehurst,,,,,,,0,0,,WhitCh02,,,,,,,,,,,,,,6.0,3.0,0.0,-5.0,-0.8,-2.5,0.0,,,,,2013,,SDG,,,,0,,,6.0,,,226,-5.0,0,,,0.0,,,,-0.8,,
2014,102.0,6.27,7.4,107.0,,4,,185,1982-08-06,,0.0,105,78.0,41.7,,,,,,,,,,,,3.0,0.0,2.0,0.0,,7.0,5.0,6-4,1.1,125.0,,,2,,,,,,,,,75,,,10.0,23.0,Charlie Whitehurst,94.0,6.02,99.0,,56.8,3.8,7,1326,7.2,WhitCh02,qb,,,,,1-4-0,87.4,0.0,10.0,1.4,,0.0,0.0,20.0,2.9,0.0,90.0,4.5,12.9,0.0,,81.0,0.0,,2014,,TEN,,,0.0,18,,92.0,20.0,,,226,100.0,103,99.0,12.6,189.4,,,,5.0,0.0,
2015,,2.08,3.3,,,0,,32,1982-08-06,,,16,,,,,,,,,,,,,,0.0,,,,,5.0,0.0,6-4,3.1,,,,1,,,,,,,,,33,,,,2.0,Charlie Whitehurst,,3.3,,,50.0,0.0,0,150,4.7,WhitCh02,,,,,,,50.3,,,,,,,2.0,0.4,0.0,1.0,0.5,0.2,0.0,,,,,2015,,2TM,,,,5,,,2.0,,,226,1.0,28,,9.4,30.0,,,,0.5,,
,,2.08,3.3,,,0,,32,1982-08-06,,,16,,,,,,,,,,,,,,0.0,,,,,4.0,0.0,6-4,3.1,,,,1,,,,,,,,,33,,,,2.0,Charlie Whitehurst,,3.3,,,50.0,0.0,0,150,4.7,WhitCh02,,,,,,,50.3,,,,,,,2.0,0.5,0.0,1.0,0.5,0.3,0.0,,,,,,,IND,,,,5,,,2.0,,,226,1.0,28,,9.4,37.5,,,,0.5,,
2016,,5.5,6.5,,,0,,24,1982-08-06,,,14,,27.9,,,,,,,,,,,,0.0,,,,,1.0,0.0,6-4,4.2,,,,1,,,,,,,,,31,,,,2.0,Charlie Whitehurst,,6.46,,,58.3,4.2,1,182,7.6,WhitCh02,,,,,,,78.8,,,,,,,2.0,2.0,0.0,1.0,0.5,1.0,0.0,,,,,2016,,CLE,,,,2,,,2.0,,,226,1.0,14,,13.0,182.0,,,,0.5,,
Career,,4.88,5.9,,,7,,396,1982-08-06,,,219,,,,,,,,,,,1.0,,,7.0,0.0,5.0,-16.0,1.0,26.0,9.0,6-4,2.0,,,,8,,,,,,,,,75,,,10.0,23.0,Charlie Whitehurst,,5.21,,,55.3,2.8,11,2463,6.2,WhitCh02,,,,,,2-7-0,74.9,0.0,10.0,0.4,,0.0,0.0,56.0,2.2,2.0,156.0,2.8,6.0,2.0,,,0.0,,Career,,,,,0.0,38,,,56.0,,,226,166.0,204,,11.2,94.7,,,,3.0,-16.0,
